Date,Private Housing Starts 
Feb-10,109.7
Mar-10,147.2
Apr-10,151.2
May-10,165
Jun-10,174.5
Jul-10,175.8
Aug-10,163.8
Sep-10,171.3
Oct-10,173.5
Nov-10,153.7
Dec-10,144.2
Jan-11,124.5
Feb-11,126.4
Mar-11,173.8
Apr-11,179.5
May-11,187.6
Jun-11,172.3
Jul-11,182
Aug-11,185.9
Sep-11,164
Oct-11,181.3
Nov-11,138.1
Dec-11,140.2
Jan-12,142.9
Feb-12,149.1
Mar-12,156.2
Apr-12,184.6
May-12,197.9
Jun-12,192.8
Jul-12,187.6
Aug-12,192
Sep-12,187.9
Oct-12,180.4
Nov-12,160.7
Dec-12,136
Jan-13,153
Feb-13,145.1
Mar-13,165.9
Apr-13,160.5
May-13,190.2
Jun-13,170.2
Jul-13,160.9
Aug-13,146.8
Sep-13,150.1
Oct-13,130.6
Nov-13,115.2
Dec-13,112.4
Jan-14,95
Feb-14,103.1
Mar-14,123.8
Apr-14,135.6
May-14,136.5
Jun-14,137.8
Jul-14,127
Aug-14,119.2
